Entry	Entry name	Protein names	Gene names	Gene names  (primary )
Q9BQ16	TICN3_HUMAN	Testican-3 (SPARC/osteonectin, CWCV, and Kazal-like domains proteoglycan 3)	SPOCK3 TICN3 UNQ409/PRO771	SPOCK3
P09493	TPM1_HUMAN	Tropomyosin alpha-1 chain (Alpha-tropomyosin) (Tropomyosin-1)	TPM1 C15orf13 TMSA	TPM1
Q9H0E2	TOLIP_HUMAN	Toll-interacting protein	TOLLIP	TOLLIP
Q9C026	TRIM9_HUMAN	E3 ubiquitin-protein ligase TRIM9 (EC 2.3.2.27) (RING finger protein 91) (RING-type E3 ubiquitin transferase TRIM9) (Tripartite motif-containing protein 9)	TRIM9 KIAA0282 RNF91	TRIM9
Q9NRS4	TMPS4_HUMAN	Transmembrane protease serine 4 (EC 3.4.21.-) (Channel-activating protease 2) (CAPH2) (Membrane-type serine protease 2) (MT-SP2) [Cleaved into: Transmembrane protease serine 4 catalytic chain]	TMPRSS4 TMPRSS3 UNQ776/PRO1570	TMPRSS4
Q9Y577	TRI17_HUMAN	E3 ubiquitin-protein ligase TRIM17 (EC 2.3.2.27) (RING finger protein 16) (RING-type E3 ubiquitin transferase TRIM17) (Testis RING finger protein) (Tripartite motif-containing protein 17)	TRIM17 RBCC RNF16 TERF	TRIM17
Q9BXS4	TMM59_HUMAN	Transmembrane protein 59 (Liver membrane-bound protein)	TMEM59 C1orf8 HSPC001 UNQ169/PRO195	TMEM59
Q9UKU6	TRHDE_HUMAN	Thyrotropin-releasing hormone-degrading ectoenzyme (TRH-DE) (TRH-degrading ectoenzyme) (EC 3.4.19.6) (Pyroglutamyl-peptidase II) (PAP-II) (TRH-specific aminopeptidase) (Thyroliberinase)	TRHDE UNQ2507/PRO5995	TRHDE
P62328	TYB4_HUMAN	Thymosin beta-4 (T beta-4) (Fx) [Cleaved into: Hematopoietic system regulatory peptide (Seraspenide)]	TMSB4X TB4X THYB4 TMSB4	TMSB4X
Q8NDY8	TMM52_HUMAN	Transmembrane protein 52	TMEM52 UNQ3048/PRO9864	TMEM52
Q9BXA7	TSSK1_HUMAN	Testis-specific serine/threonine-protein kinase 1 (TSK-1) (TSK1) (TSSK-1) (Testis-specific kinase 1) (EC 2.7.11.1) (Serine/threonine-protein kinase 22A)	TSSK1B SPOGA1 SPOGA4 STK22A STK22D TSSK1 FKSG81	TSSK1B
Q86TV6	TTC7B_HUMAN	Tetratricopeptide repeat protein 7B (TPR repeat protein 7B) (Tetratricopeptide repeat protein 7-like-1) (TPR repeat protein 7-like-1)	TTC7B TTC7L1	TTC7B
Q96AY4	TTC28_HUMAN	Tetratricopeptide repeat protein 28 (TPR repeat protein 28) (TPR repeat-containing big gene cloned at Keio)	TTC28 KIAA1043 TPRBK	TTC28
Q96A04	TSACC_HUMAN	TSSK6-activating co-chaperone protein (SSTK-interacting protein) (SSTK-IP)	TSACC C1orf182	TSACC
A0A0B4J272	TVA24_HUMAN	T cell receptor alpha variable 24	TRAV24	TRAV24
A0A0B4J263	TVA39_HUMAN	T cell receptor alpha variable 39	TRAV39	TRAV39
A0A0K0K1D8	TVB61_HUMAN	T cell receptor beta variable 6-1	TRBV6-1	TRBV6-1
Q6PHR2	ULK3_HUMAN	Serine/threonine-protein kinase ULK3 (EC 2.7.11.1) (Unc-51-like kinase 3)	ULK3	ULK3
Q9ULE0	WWC3_HUMAN	Protein WWC3	WWC3 KIAA1280	WWC3
Q9UBV4	WNT16_HUMAN	Protein Wnt-16	WNT16	WNT16
O75191	XYLB_HUMAN	Xylulose kinase (Xylulokinase) (EC 2.7.1.17)	XYLB	XYLB
P12956	XRCC6_HUMAN	X-ray repair cross-complementing protein 6 (EC 3.6.4.-) (EC 4.2.99.-) (5'-deoxyribose-5-phosphate lyase Ku70) (5'-dRP lyase Ku70) (70 kDa subunit of Ku antigen) (ATP-dependent DNA helicase 2 subunit 1) (ATP-dependent DNA helicase II 70 kDa subunit) (CTC box-binding factor 75 kDa subunit) (CTC75) (CTCBF) (DNA repair protein XRCC6) (Lupus Ku autoantigen protein p70) (Ku70) (Thyroid-lupus autoantigen) (TLAA) (X-ray repair complementing defective repair in Chinese hamster cells 6)	XRCC6 G22P1	XRCC6
Q6P2D8	XRRA1_HUMAN	X-ray radiation resistance-associated protein 1	XRRA1	XRRA1
Q9UKI3	VPRE3_HUMAN	Pre-B lymphocyte protein 3 (N27C7-2) (Protein VPreB3)	VPREB3 UNQ355/PRO619	VPREB3
A6NCI4	VWA3A_HUMAN	von Willebrand factor A domain-containing protein 3A	VWA3A	VWA3A
Q8IZQ1	WDFY3_HUMAN	WD repeat and FYVE domain-containing protein 3 (Autophagy-linked FYVE protein) (Alfy)	WDFY3 KIAA0993	WDFY3
Q9UID3	VPS51_HUMAN	Vacuolar protein sorting-associated protein 51 homolog (Another new gene 2 protein) (Protein fat-free homolog)	VPS51 ANG2 C11orf2 C11orf3 FFR PP5382	VPS51
Q6ZSN1	YI023_HUMAN	Putative uncharacterized protein FLJ45355		
Q8WTZ3	YS049_HUMAN	Zinc finger protein ENSP00000375192		
Q8IUH4	ZDH13_HUMAN	Palmitoyltransferase ZDHHC13 (EC 2.3.1.225) (Huntingtin-interacting protein 14-related protein) (HIP14-related protein) (Huntingtin-interacting protein HIP3RP) (Putative MAPK-activating protein PM03) (Putative NF-kappa-B-activating protein 209) (Zinc finger DHHC domain-containing protein 13) (DHHC-13)	ZDHHC13 HIP14L HIP3RP	ZDHHC13
Q5D1E8	ZC12A_HUMAN	Endoribonuclease ZC3H12A (EC 3.1.-.-) (Monocyte chemotactic protein-induced protein 1) (MCP-induced protein 1) (MCPIP-1) (Regnase-1) (Reg1) (Zinc finger CCCH domain-containing protein 12A)	ZC3H12A MCPIP MCPIP1	ZC3H12A
Q6AZW8	ZN660_HUMAN	Zinc finger protein 660	ZNF660	ZNF660
Q9BS31	ZN649_HUMAN	Zinc finger protein 649	ZNF649	ZNF649
Q8TAW3	ZN671_HUMAN	Zinc finger protein 671	ZNF671	ZNF671
Q9BSG1	ZNF2_HUMAN	Zinc finger protein 2 (Zinc finger protein 2.2) (Zinc finger protein 661)	ZNF2 ZNF661	ZNF2
P37275	ZEB1_HUMAN	Zinc finger E-box-binding homeobox 1 (NIL-2-A zinc finger protein) (Negative regulator of IL2) (Transcription factor 8) (TCF-8)	ZEB1 AREB6 TCF8	ZEB1
P0DPD5	ZN723_HUMAN	Zinc finger protein 723	ZNF723	ZNF723
A6NN14	ZN729_HUMAN	Zinc finger protein 729	ZNF729	ZNF729
Q6ZTR6	ZNFDT_HUMAN	Putative uncharacterized protein ZNF516-DT (ZNF516 divergent transcript)	ZNF516-DT C18orf65	ZNF516-DT
Q9UPR6	ZFR2_HUMAN	Zinc finger RNA-binding protein 2	ZFR2 KIAA1086	ZFR2
Q9ULD5	ZN777_HUMAN	Zinc finger protein 777	ZNF777 KIAA1285	ZNF777
Q3KP31	ZN791_HUMAN	Zinc finger protein 791	ZNF791	ZNF791
Q6ZRP7	QSOX2_HUMAN	Sulfhydryl oxidase 2 (EC 1.8.3.2) (Neuroblastoma-derived sulfhydryl oxidase) (Quiescin Q6-like protein 1)	QSOX2 QSCN6L1 SOXN	QSOX2
Q9BRK0	REEP2_HUMAN	Receptor expression-enhancing protein 2	REEP2 C5orf19 SGC32445	REEP2
Q7Z6P3	RAB44_HUMAN	Ras-related protein Rab-44	RAB44	RAB44
Q9BZG1	RAB34_HUMAN	Ras-related protein Rab-34 (Ras-related protein Rab-39) (Ras-related protein Rah)	RAB34 RAB39 RAH	RAB34
Q6ZWK4	RHEX_HUMAN	Regulator of hemoglobinization and erythroid cell expansion protein (Regulator of human erythroid cell expansion protein)	RHEX C1orf186	RHEX
O14715	RGPD8_HUMAN	RANBP2-like and GRIP domain-containing protein 8 (Ran-binding protein 2-like 3) (RanBP2-like 3) (RanBP2L3)	RGPD8 RANBP2ALPHA RANBP2L1 RANBP2L3	RGPD8
Q68CJ6	SLIP_HUMAN	Nuclear GTPase SLIP-GC (EC 3.6.1.-) (Speckled-like pattern in the germinal center)	NUGGC C8orf80 HMFN0672	NUGGC
Q13884	SNTB1_HUMAN	Beta-1-syntrophin (59 kDa dystrophin-associated protein A1 basic component 1) (DAPA1B) (BSYN2) (Syntrophin-2) (Tax interaction protein 43) (TIP-43)	SNTB1 SNT2B1	SNTB1
Q9Y365	STA10_HUMAN	START domain-containing protein 10 (StARD10) (Antigen NY-CO-28) (PCTP-like protein) (PCTP-L) (Serologically defined colon cancer antigen 28) (StAR-related lipid transfer protein 10)	STARD10 SDCCAG28 CGI-52	STARD10
Q15796	SMAD2_HUMAN	Mothers against decapentaplegic homolog 2 (MAD homolog 2) (Mothers against DPP homolog 2) (JV18-1) (Mad-related protein 2) (hMAD-2) (SMAD family member 2) (SMAD 2) (Smad2) (hSMAD2)	SMAD2 MADH2 MADR2	SMAD2
Q8N5C8	TAB3_HUMAN	TGF-beta-activated kinase 1 and MAP3K7-binding protein 3 (Mitogen-activated protein kinase kinase kinase 7-interacting protein 3) (NF-kappa-B-activating protein 1) (TAK1-binding protein 3) (TAB-3) (TGF-beta-activated kinase 1-binding protein 3)	TAB3 MAP3K7IP3	TAB3
O75347	TBCA_HUMAN	Tubulin-specific chaperone A (TCP1-chaperonin cofactor A) (Tubulin-folding cofactor A) (CFA)	TBCA	TBCA
Q969N4	TAAR8_HUMAN	Trace amine-associated receptor 8 (TaR-8) (Trace amine receptor 8) (G-protein coupled receptor 102) (Trace amine receptor 5) (TaR-5)	TAAR8 GPR102 TA5 TAR5 TRAR5	TAAR8
Q15572	TAF1C_HUMAN	TATA box-binding protein-associated factor RNA polymerase I subunit C (RNA polymerase I-specific TBP-associated factor 110 kDa) (TAFI110) (TATA box-binding protein-associated factor 1C) (TBP-associated factor 1C) (Transcription initiation factor SL1/TIF-IB subunit C)	TAF1C	TAF1C
P57082	TBX4_HUMAN	T-box transcription factor TBX4 (T-box protein 4)	TBX4	TBX4
O60806	TBX19_HUMAN	T-box transcription factor TBX19 (T-box protein 19) (T-box factor, pituitary)	TBX19 TPIT	TBX19
O15119	TBX3_HUMAN	T-box transcription factor TBX3 (T-box protein 3)	TBX3	TBX3
P36897	TGFR1_HUMAN	TGF-beta receptor type-1 (TGFR-1) (EC 2.7.11.30) (Activin A receptor type II-like protein kinase of 53kD) (Activin receptor-like kinase 5) (ALK-5) (ALK5) (Serine/threonine-protein kinase receptor R4) (SKR4) (TGF-beta type I receptor) (Transforming growth factor-beta receptor type I) (TGF-beta receptor type I) (TbetaR-I)	TGFBR1 ALK5 SKR4	TGFBR1
Q9BQ87	TBL1Y_HUMAN	F-box-like/WD repeat-containing protein TBL1Y (Transducin beta-like protein 1Y) (Transducin-beta-like protein 1, Y-linked)	TBL1Y TBL1	TBL1Y
Q5JRA6	TGO1_HUMAN	Transport and Golgi organization protein 1 homolog (TANGO1) (C219-reactive peptide) (D320) (Melanoma inhibitory activity protein 3)	MIA3 KIAA0268 TANGO UNQ6077/PRO20088	MIA3
Q9UL49	TCFL5_HUMAN	Transcription factor-like 5 protein (Cha transcription factor) (HPV-16 E2-binding protein 1) (E2BP-1)	TCFL5 CHA E2BP1	TCFL5
Q9UBB9	TFP11_HUMAN	Tuftelin-interacting protein 11 (Septin and tuftelin-interacting protein 1) (STIP-1)	TFIP11 STIP HSPC006	TFIP11
H3BTG2	TEX46_HUMAN	Testis-expressed protein 46	TEX46 C1orf234	TEX46
Q68CZ2	TENS3_HUMAN	Tensin-3 (Tensin-like SH2 domain-containing protein 1) (Tumor endothelial marker 6)	TNS3 TEM6 TENS1 TPP	TNS3
Q9BXT5	TEX15_HUMAN	Testis-expressed protein 15 (Cancer/testis antigen 42) (CT42)	TEX15	TEX15
Q9H5Q4	TFB2M_HUMAN	Dimethyladenosine transferase 2, mitochondrial (EC 2.1.1.-) (Hepatitis C virus NS5A-transactivated protein 5) (HCV NS5A-transactivated protein 5) (Mitochondrial 12S rRNA dimethylase 2) (Mitochondrial transcription factor B2) (h-mtTFB) (h-mtTFB2) (hTFB2M) (mtTFB2) (S-adenosylmethionine-6-N', N'-adenosyl(rRNA) dimethyltransferase 2)	TFB2M NS5ATP5	TFB2M
A0A286YF58	TM271_HUMAN	Transmembrane protein 271	TMEM271	TMEM271
Q15562	TEAD2_HUMAN	Transcriptional enhancer factor TEF-4 (TEA domain family member 2) (TEAD-2)	TEAD2 TEF4	TEAD2
Q92994	TF3B_HUMAN	Transcription factor IIIB 90 kDa subunit (TFIIIB90) (hTFIIIB90) (B-related factor 1) (BRF-1) (hBRF) (TAF3B2) (TATA box-binding protein-associated factor, RNA polymerase III, subunit 2)	BRF1 BRF GTF3B TAF3B2 TAF3C	BRF1
Q5BJH2	TM128_HUMAN	Transmembrane protein 128	TMEM128	TMEM128
Q92544	TM9S4_HUMAN	Transmembrane 9 superfamily member 4 (Tumor cannibalism associated protein 1)	TM9SF4 KIAA0255 TUCAP1	TM9SF4
Q04727	TLE4_HUMAN	Transducin-like enhancer protein 4 (Grg-4) (Groucho-related protein 4)	TLE4 GRG4 KIAA1261	TLE4
Q8TBR7	TLC3A_HUMAN	TLC domain-containing protein 3A (Protein CT120) (Protein FAM57A)	TLCD3A FAM57A	TLCD3A
O75509	TNR21_HUMAN	Tumor necrosis factor receptor superfamily member 21 (Death receptor 6) (CD antigen CD358)	TNFRSF21 DR6 UNQ437/PRO868	TNFRSF21
Q9ULQ1	TPC1_HUMAN	Two pore calcium channel protein 1 (Voltage-dependent calcium channel protein TPC1)	TPCN1 KIAA1169 TPC1	TPCN1
P28908	TNR8_HUMAN	Tumor necrosis factor receptor superfamily member 8 (CD30L receptor) (Ki-1 antigen) (Lymphocyte activation antigen CD30) (CD antigen CD30)	TNFRSF8 CD30 D1S166E	TNFRSF8
Q96GM8	TOE1_HUMAN	Target of EGR1 protein 1	TOE1	TOE1
Q9NXH8	TOR4A_HUMAN	Torsin-4A (Torsin family 4 member A)	TOR4A C9orf167	TOR4A
Q9HCM9	TRI39_HUMAN	E3 ubiquitin-protein ligase TRIM39 (EC 2.3.2.27) (RING finger protein 23) (RING-type E3 ubiquitin transferase TRIM39) (Testis-abundant finger protein) (Tripartite motif-containing protein 39)	TRIM39 RNF23 TFP	TRIM39
O00635	TRI38_HUMAN	E3 ubiquitin-protein ligase TRIM38 (EC 2.3.2.27) (RING finger protein 15) (RING-type E3 ubiquitin transferase TRIM38) (Tripartite motif-containing protein 38) (Zinc finger protein RoRet)	TRIM38 RNF15 RORET	TRIM38
Q7Z4K8	TRI46_HUMAN	Tripartite motif-containing protein 46 (Gene Y protein) (GeneY) (Tripartite, fibronectin type-III and C-terminal SPRY motif protein)	TRIM46 TRIFIC	TRIM46
Q5JXX7	TMM31_HUMAN	Transmembrane protein 31	TMEM31	TMEM31
O14798	TR10C_HUMAN	Tumor necrosis factor receptor superfamily member 10C (Antagonist decoy receptor for TRAIL/Apo-2L) (Decoy TRAIL receptor without death domain) (Decoy receptor 1) (DcR1) (Lymphocyte inhibitor of TRAIL) (TNF-related apoptosis-inducing ligand receptor 3) (TRAIL receptor 3) (TRAIL-R3) (TRAIL receptor without an intracellular domain) (CD antigen CD263)	TNFRSF10C DCR1 LIT TRAILR3 TRID UNQ321/PRO366	TNFRSF10C
Q9UJV3	TRIM1_HUMAN	Probable E3 ubiquitin-protein ligase MID2 (EC 2.3.2.27) (Midin-2) (Midline defect 2) (Midline-2) (RING finger protein 60) (RING-type E3 ubiquitin transferase MID2) (Tripartite motif-containing protein 1)	MID2 FXY2 RNF60 TRIM1	MID2
Q96NA8	TSNA1_HUMAN	t-SNARE domain-containing protein 1	TSNARE1	TSNARE1
Q969E8	TSR2_HUMAN	Pre-rRNA-processing protein TSR2 homolog	TSR2	TSR2
Q06418	TYRO3_HUMAN	Tyrosine-protein kinase receptor TYRO3 (EC 2.7.10.1) (Tyrosine-protein kinase BYK) (Tyrosine-protein kinase DTK) (Tyrosine-protein kinase RSE) (Tyrosine-protein kinase SKY) (Tyrosine-protein kinase TIF)	TYRO3 BYK DTK RSE SKY TIF	TYRO3
Q96PN8	TSSK3_HUMAN	Testis-specific serine/threonine-protein kinase 3 (TSK-3) (TSSK-3) (Testis-specific kinase 3) (EC 2.7.11.1) (Serine/threonine-protein kinase 22C)	TSSK3 SPOGA3 STK22C	TSSK3
Q9H3M7	TXNIP_HUMAN	Thioredoxin-interacting protein (Thioredoxin-binding protein 2) (Vitamin D3 up-regulated protein 1)	TXNIP VDUP1	TXNIP
P35030	TRY3_HUMAN	Trypsin-3 (EC 3.4.21.4) (Brain trypsinogen) (Mesotrypsin) (Mesotrypsinogen) (Serine protease 3) (Serine protease 4) (Trypsin III) (Trypsin IV)	PRSS3 PRSS4 TRY3 TRY4	PRSS3
Q9GZX9	TWSG1_HUMAN	Twisted gastrulation protein homolog 1	TWSG1 TSG PSEC0250	TWSG1
Q7Z4N2	TRPM1_HUMAN	Transient receptor potential cation channel subfamily M member 1 (Long transient receptor potential channel 1) (LTrpC1) (Melastatin-1)	TRPM1 LTRPC1 MLSN MLSN1	TRPM1
Q2T9J0	TYSD1_HUMAN	Peroxisomal leader peptide-processing protease (EC 3.4.21.-) (Trypsin domain-containing protein 1) [Cleaved into: Peroxisomal leader peptide-processing protease, 15 kDa form; Peroxisomal leader peptide-processing protease, 45 kDa form]	TYSND1	TYSND1
A0A0B4J240	TVA10_HUMAN	T cell receptor alpha variable 10	TRAV10	TRAV10
A0A0J9YY54	TX13D_HUMAN	Testis-expressed protein 13D	TEX13D	TEX13D
O75604	UBP2_HUMAN	Ubiquitin carboxyl-terminal hydrolase 2 (EC 3.4.19.12) (41 kDa ubiquitin-specific protease) (Deubiquitinating enzyme 2) (Ubiquitin thioesterase 2) (Ubiquitin-specific-processing protease 2)	USP2 UBP41	USP2
Q05086	UBE3A_HUMAN	Ubiquitin-protein ligase E3A (EC 2.3.2.26) (E6AP ubiquitin-protein ligase) (HECT-type ubiquitin transferase E3A) (Human papillomavirus E6-associated protein) (Oncogenic protein-associated protein E6-AP) (Renal carcinoma antigen NY-REN-54)	UBE3A E6AP EPVE6AP HPVE6A	UBE3A
Q9UPW8	UN13A_HUMAN	Protein unc-13 homolog A (Munc13-1)	UNC13A KIAA1032	UNC13A
Q96B02	UBE2W_HUMAN	Ubiquitin-conjugating enzyme E2 W (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme W) (N-terminal E2 ubiquitin-conjugating enzyme) (EC 2.3.2.25) (N-terminus-conjugating E2) (Ubiquitin carrier protein W) (Ubiquitin-conjugating enzyme 16) (UBC-16) (Ubiquitin-protein ligase W)	UBE2W UBC16	UBE2W
Q9NZ09	UBAP1_HUMAN	Ubiquitin-associated protein 1 (UBAP-1) (Nasopharyngeal carcinoma-associated gene 20 protein)	UBAP1 NAG20	UBAP1
A0A1B0GX95	TVB74_HUMAN	T cell receptor beta variable 7-4	TRBV7-4	TRBV7-4
P55089	UCN1_HUMAN	Urocortin	UCN	UCN
P55851	UCP2_HUMAN	Mitochondrial uncoupling protein 2 (UCP 2) (Solute carrier family 25 member 8) (UCPH)	UCP2 SLC25A8	UCP2
A0A1B0GX68	TVB2_HUMAN	T cell receptor beta variable 2	TRBV2	TRBV2
